classes,class_desc
Short,The Short class wraps a value of primitive type short in an object.
Short2,Class for exposing the native RenderScript Short2 type back to the Android system.
Short3,Vector version of the basic short type.
Short4,Vector version of the basic short type.
ShortBuffer,A short buffer.
ShortBufferException,"This exception is thrown when an output buffer provided by the user
 is too short to hold the operation result."
ShortcutInfo,Represents a shortcut that can be published via ShortcutManager.
ShortcutInfo.Builder,Builder class for ShortcutInfo objects.
ShortcutManager,"ShortcutManager executes operations on an app's set of shortcuts, which
 represent specific tasks and actions that users can perform within your app."
ShutdownChannelGroupException,"Unchecked exception thrown when an attempt is made to construct a channel in 
 a group that is shutdown or the completion handler for an I/O operation 
 cannot be invoked because the channel group has terminated."
SidePropagation,"A TransitionPropagation that propagates based on the distance to the side
 and, orthogonally, the distance to epicenter."
SignalStrength,Contains phone signal strength related information.
Signature,"Opaque, immutable representation of a signing certificate associated with an
 application package."
Signature,"The Signature class is used to provide applications the functionality
 of a digital signature algorithm."
SignatureException,This is the generic Signature exception.
SignatureSpi,"This class defines the Service Provider Interface (SPI)
 for the Signature class, which is used to provide the
 functionality of a digital signature algorithm."
SignedObject,"SignedObject is a class for the purpose of creating authentic
 runtime objects whose integrity cannot be compromised without being
 detected."
Signer,"This class was deprecated
      in API level 1.
    This class is no longer used. Its functionality has been
 replaced by java.security.KeyStore, the
 java.security.cert package, and
 java.security.Principal."
SigningInfo,Information pertaining to the signing certificates used to sign a package.
SignStyle,Enumeration of ways to handle the positive/negative sign.
SimpleAdapter,An easy adapter to map static data to views defined in an XML file.
SimpleAdapter.ViewBinder,"This class can be used by external clients of SimpleAdapter to bind
 values to views."
SimpleCursorAdapter,"An easy adapter to map columns from a cursor to TextViews or ImageViews
 defined in an XML file."
SimpleCursorAdapter.CursorToStringConverter,"This class can be used by external clients of SimpleCursorAdapter
 to define how the Cursor should be converted to a String."
SimpleCursorAdapter.ViewBinder,"This class can be used by external clients of SimpleCursorAdapter
 to bind values fom the Cursor to views."
SimpleCursorTreeAdapter,"An easy adapter to map columns from a cursor to TextViews or ImageViews
 defined in an XML file."
SimpleCursorTreeAdapter.ViewBinder,"This class can be used by external clients of SimpleCursorTreeAdapter
 to bind values from the Cursor to views."
SimpleDateFormat,"[icu enhancement] ICU's replacement for SimpleDateFormat. Methods, fields, and other functionality specific to ICU are labeled '[icu]'."
SimpleDateFormat,"SimpleDateFormat is a concrete class for formatting and
 parsing dates in a locale-sensitive manner."
SimpleExpandableListAdapter,"An easy adapter to map static data to group and child views defined in an XML
 file."
SimpleFileVisitor<T>,"A simple visitor of files with default behavior to visit all files and to
 re-throw I/O errors."
SimpleFormatter,"Print a brief summary of the LogRecord in a human readable
 format."
SimpleTimeZone,"SimpleTimeZone is a concrete subclass of TimeZone
 that represents a time zone for use with a Gregorian calendar."
SingleLaunchActivityTestCase<T extends Activity>,"This class was deprecated
      in API level 24.
    Use
 
 ActivityTestRule instead. New tests should be written using the
 Android Testing Support Library."
SingleLineTransformationMethod,"This transformation method causes any newline characters (\n) to be
 displayed as spaces instead of causing line breaks, and causes
 carriage return characters (\r) to have no appearance."
SipAudioCall,Handles an Internet audio call over SIP.
SipAudioCall.Listener,"Listener for events relating to a SIP call, such as when a call is being
 recieved (""on ringing"") or a call is outgoing (""on calling"")."
SipErrorCode,Defines error codes returned during SIP actions.
SipException,Indicates a general SIP-related exception.
SipManager,"Provides APIs for SIP tasks, such as initiating SIP connections, and provides access to related
 SIP services."
SipProfile,"Defines a SIP profile, including a SIP account, domain and server information."
SipProfile.Builder,Helper class for creating a SipProfile.
SipRegistrationListener,Listener for SIP registration events.
SipSession,"Represents a SIP session that is associated with a SIP dialog or a standalone
 transaction not within a dialog."
SipSession.Listener,"Listener for events relating to a SIP session, such as when a session is being registered
 (""on registering"") or a call is outgoing (""on calling"")."
SipSession.State,"Defines SIP session states, such as ""registering"", ""outgoing call"", and ""in call""."
Size,Immutable class for describing width and height dimensions in pixels.
SizeF,"Immutable class for describing width and height dimensions in some arbitrary
 unit."
Slice,A slice is a piece of app content and actions that can be surfaced outside of the app.
Slice.Builder,A Builder used to construct Slices
SliceItem,A SliceItem is a single unit in the tree structure of a Slice.
SliceManager,Class to handle interactions with Slices.
SliceMetrics,Metrics interface for slices.
SliceProvider,A SliceProvider allows an app to provide content to be displayed in system spaces.
SliceSpec,Class describing the structure of the data contained within a slice.
Slide,"This transition tracks changes to the visibility of target views in the
 start and end scenes and moves views in or out from one of the edges of the
 scene."
SlidingDrawer,"This class was deprecated
      in API level 17.
    This class is not supported anymore. It is recommended you
 base your own implementation on the source code for the Android Open
 Source Project if you must use it in your application."
SlidingDrawer.OnDrawerCloseListener,Callback invoked when the drawer is closed.
SlidingDrawer.OnDrawerOpenListener,Callback invoked when the drawer is opened.
SlidingDrawer.OnDrawerScrollListener,Callback invoked when the drawer is scrolled.
SmallTest,"This @interface was deprecated
      in API level 24.
    Use
 
 SmallTest instead. New tests should be written using the
 Android Testing Support Library."
Smoke,"This @interface was deprecated
      in API level 24.
    New tests should be written using the
 Android Testing Support Library."
SmsManager,"Manages SMS operations such as sending data, text, and pdu SMS messages."
SmsManager,"This class was deprecated
      in API level 4.
    Replaced by android.telephony.SmsManager that supports both GSM and CDMA."
SmsMessage,A Short Message Service message.
SmsMessage,"This class was deprecated
      in API level 4.
    Replaced by android.telephony.SmsMessage that supports both GSM and CDMA."
SmsMessage.MessageClass,SMS Class enumeration.
SmsMessage.MessageClass,"This enum was deprecated
      in API level 4.
    Use android.telephony.SmsMessage."
SmsMessage.SubmitPdu,
SmsMessage.SubmitPdu,"This class was deprecated
      in API level 4.
    Use android.telephony.SmsMessage."
SNIHostName,"Instances of this class represent a server name of type
 host_name in a Server Name
 Indication (SNI) extension."
SNIMatcher,"Instances of this class represent a matcher that performs match
 operations on an SNIServerName instance."
SNIServerName,"Instances of this class represent a server name in a Server Name
 Indication (SNI) extension."
Socket,"This class implements client sockets (also called just
 ""sockets"")."
SocketAddress,This class represents a Socket Address with no protocol attachment.
SocketChannel,A selectable channel for stream-oriented connecting sockets.
SocketException,Thrown to indicate that there is an error creating or accessing a Socket.
SocketFactory,This class creates sockets.
SocketFactory,"This interface was deprecated
      in API level 22.
    Please use URL.openConnection() instead.
     Please visit this webpage
     for further details."
SocketHandler,Simple network logging Handler.
SocketImpl,"The abstract class SocketImpl is a common superclass
 of all classes that actually implement sockets."
SocketImplFactory,This interface defines a factory for socket implementations.
SocketOption<T>,A socket option associated with a socket.
SocketOptions,Interface of methods to get/set socket options.
SocketPermission,Legacy security code; do not use.
SocketTimeoutException,Signals that a timeout has occurred on a socket read or accept.
SoftReference<T>,"Soft reference objects, which are cleared at the discretion of the garbage
 collector in response to memory demand."
"SortedMap<K, V>",A Map that further provides a total ordering on its keys.
SortedSet<E>,A Set that further provides a total ordering on its elements.
SoundEffectConstants,Constants to be used to play sound effects via View.playSoundEffect(int)
SoundPool,The SoundPool class manages and plays audio resources for applications.
SoundPool.Builder,Builder class for SoundPool objects.
SoundPool.OnLoadCompleteListener,
Source,"An object that implements this interface contains the information
 needed to act as source input (XML source or transformation instructions)."
SourceLocator,"This interface is primarily for the purposes of reporting where
 an error occurred in the XML source or transformation instructions."
Space,"Space is a lightweight View subclass that may be used to create gaps between components
 in general purpose layouts."
Spannable,"This is the interface for text to which markup objects can be
 attached and detached."
Spannable.Factory,Factory used by TextView to create new Spannables.
SpannableString,"This is the class for text whose content is immutable but to which
 markup objects can be attached and detached."
SpannableStringBuilder,This is the class for text whose content and markup can both be changed.
Spanned,"This is the interface for text that has markup objects attached to
 ranges of it."
SpannedString,This is the class for text whose content and markup are immutable.
SpanWatcher,"When an object of this type is attached to a Spannable, its methods
 will be called to notify it that other markup objects have been
 added, changed, or removed."
SparseArray<E>,"SparseArray maps integers to Objects and, unlike a normal array of Objects,
 its indices can contain gaps."
SparseBooleanArray,SparseBooleanArrays map integers to booleans.
SparseIntArray,SparseIntArrays map integers to integers.
SparseLongArray,SparseLongArrays map integers to longs.
SpeechRecognizer,This class provides access to the speech recognition service.
SpellCheckerInfo,This class is used to specify meta information of a spell checker.
SpellCheckerService,SpellCheckerService provides an abstract base class for a spell checker.
SpellCheckerService.Session,This abstract class should be overridden by a concrete implementation of a spell checker.
SpellCheckerSession,The SpellCheckerSession interface provides the per client functionality of SpellCheckerService.
SpellCheckerSession.SpellCheckerSessionListener,Callback for getting results from text services
SpellCheckerSubtype,This class is used to specify meta information of a subtype contained in a spell checker.
Spinner,A view that displays one child at a time and lets the user pick among them.
SpinnerAdapter,"Extended Adapter that is the bridge between a
 Spinner and its data."
Spliterator<T>,An object for traversing and partitioning elements of a source.
Spliterator.OfDouble,A Spliterator specialized for double values.
Spliterator.OfInt,A Spliterator specialized for int values.
Spliterator.OfLong,A Spliterator specialized for long values.
"Spliterator.OfPrimitive<T, T_CONS, T_SPLITR extends OfPrimitive<T, T_CONS, T_SPLITR>>",A Spliterator specialized for primitive values.
Spliterators,"Static classes and methods for operating on or creating instances of
 Spliterator and its primitive specializations
 Spliterator.OfInt, Spliterator.OfLong, and
 Spliterator.OfDouble."
Spliterators.AbstractDoubleSpliterator,"An abstract Spliterator.OfDouble that implements
 trySplit to permit limited parallelism."
Spliterators.AbstractIntSpliterator,"An abstract Spliterator.OfInt that implements trySplit to
 permit limited parallelism."
Spliterators.AbstractLongSpliterator,"An abstract Spliterator.OfLong that implements trySplit
 to permit limited parallelism."
Spliterators.AbstractSpliterator<T>,"An abstract Spliterator that implements trySplit to
 permit limited parallelism."
SplittableRandom,"A generator of uniform pseudorandom values applicable for use in
 (among other contexts) isolated parallel computations that may
 generate subtasks."
SQLClientInfoException,"The subclass of SQLException is thrown when one or more client info properties
 could not be set on a Connection."
SQLData,"The interface used for the custom mapping of an SQL user-defined type (UDT) to
 a class in the Java programming language."
SQLDataException,"The subclass of SQLException thrown when the SQLState class value
 is '22', or under vendor-specified conditions."
SQLException,An exception that indicates there was an error with SQL parsing or execution.
SQLException,"An exception that provides information on a database access
 error or other errors."
SQLFeatureNotSupportedException,"The subclass of SQLException thrown when the SQLState class value is '0A'
 ( the value is 'zero' A)."
SQLInput,"An input stream that contains a stream of values representing an
 instance of an SQL structured type or an SQL distinct type."
SQLIntegrityConstraintViolationException,"The subclass of SQLException thrown when the SQLState class value
 is '23', or under vendor-specified conditions."
SQLInvalidAuthorizationSpecException,"The subclass of SQLException thrown when the SQLState class value
 is '28', or under vendor-specified conditions."
SQLiteAbortException,An exception that indicates that the SQLite program was aborted.
SQLiteAccessPermException,"This exception class is used when sqlite can't access the database file
 due to lack of permissions on the file."
SQLiteBindOrColumnIndexOutOfRangeException,Thrown if the the bind or column parameter index is out of range
SQLiteBlobTooBigException,
SQLiteCantOpenDatabaseException,
SQLiteClosable,An object created from a SQLiteDatabase that can be closed.
SQLiteConstraintException,An exception that indicates that an integrity constraint was violated.
SQLiteCursor,"A Cursor implementation that exposes results from a query on a
 SQLiteDatabase."
SQLiteCursorDriver,"A driver for SQLiteCursors that is used to create them and gets notified
 by the cursors it creates on significant events in their lifetimes."
SQLiteDatabase,Exposes methods to manage a SQLite database.
SQLiteDatabase.CursorFactory,Used to allow returning sub-classes of Cursor when calling query.
SQLiteDatabase.OpenParams,Wrapper for configuration parameters that are used for opening SQLiteDatabase
SQLiteDatabase.OpenParams.Builder,Builder for SQLiteDatabase.OpenParams.
SQLiteDatabaseCorruptException,An exception that indicates that the SQLite database file is corrupt.
SQLiteDatabaseLockedException,"Thrown if  the database engine was unable to acquire the
 database locks it needs to do its job."
SQLiteDatatypeMismatchException,
SQLiteDiskIOException,"An exception that indicates that an IO error occured while accessing the 
 SQLite database file."
SQLiteDoneException,An exception that indicates that the SQLite program is done.
SQLiteException,A SQLite exception that indicates there was an error with SQL parsing or execution.
SQLiteFullException,An exception that indicates that the SQLite database is full.
SQLiteMisuseException,"This error can occur if the application creates a SQLiteStatement object and allows multiple
 threads in the application use it at the same time."
SqliteObjectLeakedViolation,
SQLiteOpenHelper,A helper class to manage database creation and version management.
SQLiteOutOfMemoryException,
SQLiteProgram,A base class for compiled SQLite programs.
SQLiteQuery,Represents a query that reads the resulting rows into a SQLiteQuery.
SQLiteQueryBuilder,"This is a convenience class that helps build SQL queries to be sent to
 SQLiteDatabase objects."
SQLiteReadOnlyDatabaseException,
SQLiteStatement,Represents a statement that can be executed against a database.
SQLiteTableLockedException,
SQLiteTransactionListener,A listener for transaction events.
SQLNonTransientConnectionException,"The subclass of SQLException thrown for the SQLState
 class value '08', or under vendor-specified conditions."
SQLNonTransientException,"The subclass of SQLException thrown when an instance where a retry
 of the same operation would fail unless the cause of the SQLException
 is corrected."
SQLOutput,"The output stream for writing the attributes of a user-defined
 type back to the database."
SQLPermission,Legacy security code; do not use.
SQLRecoverableException,"The subclass of SQLException thrown in situations where a
 previously failed operation might be able to succeed if the application performs
  some recovery steps and retries the entire transaction or in the case of a
 distributed transaction, the transaction branch."
SQLSyntaxErrorException,"The subclass of SQLException thrown when the SQLState class value
 is '42', or under vendor-specified conditions."
SQLTimeoutException,"The subclass of SQLException thrown when the timeout specified by Statement
  has expired."
SQLTransactionRollbackException,"The subclass of SQLException thrown when the SQLState class value
 is '40', or under vendor-specified conditions."
SQLTransientConnectionException,"The subclass of SQLException for the SQLState class
 value '08', or under vendor-specified conditions."
SQLTransientException,"The subclass of SQLException is thrown in situations where a
 previoulsy failed operation might be able to succeed when the operation is
 retried without any intervention by application-level functionality."
SQLWarning,"An exception that provides information on  database access
 warnings."
SQLXML,The mapping in the JavaTM programming language for the SQL XML type.
SslCertificate,SSL certificate info (certificate details) class
SslCertificate.DName,"A distinguished name helper class: a 3-tuple of:
 
   the most specific common name (CN)
   the most specific organization (O)
   the most specific organizational unit (OU)"
SSLCertificateSocketFactory,"SSLSocketFactory implementation with several extra features:
 
 Timeout specification for SSL handshake operations
 Hostname verification in most cases (see WARNINGs below)
 Optional SSL session caching with SSLSessionCache
 Optionally bypass all SSL certificate checks
 
 The handshake timeout does not apply to actual TCP socket connection."
SSLContext,"Instances of this class represent a secure socket protocol
 implementation which acts as a factory for secure socket
 factories or SSLEngines."
SSLContextSpi,"This class defines the Service Provider Interface (SPI)
 for the SSLContext class."
SSLEngine,"A class which enables secure communications using protocols such as
 the Secure Sockets Layer (SSL) or
  IETF RFC 2246 ""Transport
 Layer Security"" (TLS)  protocols, but is transport independent."
SSLEngineResult,"An encapsulation of the result state produced by
 SSLEngine I/O calls."
SSLEngineResult.HandshakeStatus,"An SSLEngineResult enum describing the current
 handshaking state of this SSLEngine."
SSLEngineResult.Status,"An SSLEngineResult enum describing the overall result
 of the SSLEngine operation."
SslError,"This class represents a set of one or more SSL errors and the associated SSL
 certificate."
SslErrorHandler,Represents a request for handling an SSL error.
SSLException,Indicates some kind of error detected by an SSL subsystem.
SSLHandshakeException,"Indicates that the client and server could not negotiate the
 desired level of security."
SSLKeyException,Reports a bad SSL key.
SSLParameters,Encapsulates parameters for an SSL/TLS connection.
SSLPeerUnverifiedException,Indicates that the peer's identity has not been verified.
SSLPermission,Legacy security code; do not use.
SSLProtocolException,Reports an error in the operation of the SSL protocol.
SSLServerSocket,"This class extends ServerSockets and
 provides secure server sockets using protocols such as the Secure
 Sockets Layer (SSL) or Transport Layer Security (TLS) protocols."
SSLServerSocketFactory,"SSLServerSocketFactorys create
 SSLServerSockets."
SSLSession,"In SSL, sessions are used to describe an ongoing relationship between
 two entities."
SSLSessionBindingEvent,This event is propagated to a SSLSessionBindingListener.
SSLSessionBindingListener,"This interface is implemented by objects which want to know when
 they are being bound or unbound from a SSLSession."
SSLSessionCache,File-based cache of established SSL sessions.
SSLSessionContext,"A SSLSessionContext represents a set of
 SSLSessions associated with a single entity."
SSLSocket,"This class extends Sockets and provides secure
 socket using protocols such as the ""Secure
 Sockets Layer"" (SSL) or IETF ""Transport Layer Security"" (TLS) protocols."
SSLSocketFactory,SSLSocketFactorys create SSLSockets.
SSLSocketFactory,"This class was deprecated
      in API level 22.
    Please use URL.openConnection() instead.
     Please visit this webpage
     for further details."
Stack<E>,"The Stack class represents a last-in-first-out
 (LIFO) stack of objects."
StackOverflowError,"Thrown when a stack overflow occurs because an application
 recurses too deeply."
StackTraceElement,"An element in a stack trace, as returned by Throwable.getStackTrace()."
StackView,
StaleDataException,"This exception is thrown when a Cursor contains stale data and must be
 requeried before being used again."
StampedLock,"A capability-based lock with three modes for controlling read/write
 access."
StandardCharsets,Constant definitions for the standard Charsets.
StandardConstants,Standard constants definitions
StandardCopyOption,Defines the standard copy options.
StandardOpenOption,Defines the standard open options.
StandardProtocolFamily,Defines the standard families of communication protocols.
StandardSocketOptions,Defines the standard socket options.
StandardWatchEventKinds,Defines the standard event kinds.
StartElementListener,Listens for the beginning of elements.
StateListAnimator,"Lets you define a number of Animators that will run on the attached View depending on the View's
 drawable state."
StateListDrawable,"Lets you assign a number of graphic images to a single Drawable and swap out the visible item by a string
 ID value."
Statement,"The object used for executing a static SQL statement
 and returning the results it produces."
StatementEvent,"A StatementEvent is sent to all StatementEventListeners which were
 registered with a PooledConnection."
StatementEventListener,"An object that registers to be notified of events that occur on PreparedStatements
 that are in the Statement pool."
StateSet,"State sets are arrays of positive ints where each element
 represents the state of a View (e.g."
StatFs,Retrieve overall information about the space on a filesystem.
StaticLayout,"StaticLayout is a Layout for text that will not be edited after it
 is laid out."
StaticLayout.Builder,Builder for static layouts.
StatsLog,StatsLog provides an API for developers to send events to statsd.
StatusBarNotification,Class encapsulating a Notification.
StatusHints,Contains status label and icon displayed in the in-call UI.
StorageManager,StorageManager is the interface to the systems storage service.
StorageStats,"Storage statistics for a UID, package, or UserHandle on a single
 storage volume."
StorageStatsManager,Access to detailed storage statistics.
StorageVolume,Information about a shared/external storage volume for a specific user.
Stream<T>,"A sequence of elements supporting sequential and parallel aggregate
 operations."
Stream.Builder<T>,A mutable builder for a Stream.
StreamConfigurationMap,"Immutable class to store the available stream
 configurations to set up
 Surfaces for creating a
 capture session with
 CameraDevice.createCaptureSession(SessionConfiguration)."
StreamCorruptedException,"Thrown when control information that was read from an object stream
 violates internal consistency checks."
StreamHandler,Stream based logging Handler.
StreamingService,Class used to represent a single MBMS stream.
StreamingServiceCallback,A callback class for use when the application is actively streaming content.
StreamingServiceInfo,Describes a single MBMS streaming service.
StreamResult,"Acts as an holder for a transformation result,
 which may be XML, plain Text, HTML, or some other form of markup."
StreamSource,"Acts as an holder for a transformation Source in the form
 of a stream of XML markup."
StreamSupport,Low-level utility methods for creating and manipulating streams.
StreamTokenizer,"The StreamTokenizer class takes an input stream and
 parses it into ""tokens"", allowing the tokens to be
 read one at a time."
StrictHostnameVerifier,"This class was deprecated
      in API level 22.
    Please use URL.openConnection() instead.
     Please visit this webpage
     for further details."
StrictMath,"The class StrictMath contains methods for performing basic
 numeric operations such as the elementary exponential, logarithm,
 square root, and trigonometric functions."
StrictMode,"StrictMode is a developer tool which detects things you might be doing by accident and brings
 them to your attention so you can fix them."
StrictMode.OnThreadViolationListener,"When #StrictMode.ThreadPolicy.Builder.penaltyListener(Executor, StrictMode.OnThreadViolationListener) is enabled, the listener is called on the
 provided executor when a Thread violation occurs."
StrictMode.OnVmViolationListener,"When #StrictMode.VmPolicy.Builder.penaltyListener(Executor, StrictMode.OnVmViolationListener) is enabled, the listener is called on the
 provided executor when a VM violation occurs."
StrictMode.ThreadPolicy,StrictMode policy applied to a certain thread.
StrictMode.ThreadPolicy.Builder,Creates StrictMode.ThreadPolicy instances.
StrictMode.VmPolicy,StrictMode policy applied to all threads in the virtual machine's process.
StrictMode.VmPolicy.Builder,Creates StrictMode.VmPolicy instances.
StrikethroughSpan,A span that strikes through the text it's attached to.
String,The String class represents character strings.
StringBuffer,"A thread-safe, mutable sequence of characters."
StringBufferInputStream,"This class was deprecated
      in API level 1.
    This class does not properly convert characters into bytes.  As
             of JDK 1.1, the preferred way to create a stream from a
             string is via the StringReader class."
StringBuilder,A mutable sequence of characters.
StringBuilderPrinter,"Implementation of a Printer that sends its output
 to a StringBuilder."
StringCharacterIterator,"StringCharacterIterator implements the
 CharacterIterator protocol for a String."
StringIndexOutOfBoundsException,"Thrown by String methods to indicate that an index
 is either negative or greater than the size of the string."
StringJoiner,"StringJoiner is used to construct a sequence of characters separated
 by a delimiter and optionally starting with a supplied prefix
 and ending with a supplied suffix."
StringPrepParseException,"Exception that signals an error has occurred while parsing the
 input to StringPrep or IDNA."
StringReader,A character stream whose source is a string.
StringSearch,"StringSearch is a SearchIterator that provides
 language-sensitive text searching based on the comparison rules defined
 in a RuleBasedCollator object."
StringTokenizer,"The string tokenizer class allows an application to break a
 string into tokens."
StringWriter,"A character stream that collects its output in a string buffer, which can
 then be used to construct a string."
StrongBoxUnavailableException,"Indicates that an operation could not be performed because the requested security hardware
 is not available."
Struct,"The standard mapping in the Java programming language for an SQL
 structured type."
StructPollfd,"Used as an in/out parameter to Os.poll(StructPollfd[], int)."
StructStat,"File information returned by Os.fstat(FileDescriptor), Os.lstat(String), and Os.stat(String)."
StructStatVfs,File information returned by Os.fstatvfs(FileDescriptor) and Os.statvfs(String).
StructTimespec,Corresponds to C's struct timespec from <time.h>.
StructUtsname,Information returned by Os.uname().
StyleSpan,Span that allows setting the style of the text it's attached to.
Subject,"A Subject represents a grouping of related information
 for a single entity, such as a person."
SubjectDomainCombiner,Legacy security code; do not use.
SubMenu,Subclass of Menu for sub menus.
SubscribeConfig,Defines the configuration of a Aware subscribe session.
SubscribeConfig.Builder,Builder used to build SubscribeConfig objects.
SubscribeDiscoverySession,A class representing a Aware subscribe session.
SubscriptionInfo,A Parcelable class for Subscription Information.
SubscriptionManager,"SubscriptionManager is the application interface to SubscriptionController
 and provides information about the current Telephony Subscriptions."
SubscriptionManager.OnSubscriptionsChangedListener,A listener class for monitoring changes to SubscriptionInfo records.
SubscriptionPlan,"Description of a billing relationship plan between a carrier and a specific
 subscriber."
SubscriptionPlan.Builder,Builder for a SubscriptionPlan.
SubscriptSpan,The span that moves the position of the text baseline lower.
SubtitleData,"Class encapsulating subtitle data, as received through the
 MediaPlayer.OnSubtitleDataListener interface."
SuggestionsInfo,This class contains a metadata of suggestions from the text service
SuggestionSpan,Holds suggestion candidates for the text enclosed in this span.
SumPathEffect,
SuperscriptSpan,The span that moves the position of the text baseline higher.
SupplicantState,From defs.h in wpa_supplicant.
Supplier<T>,Represents a supplier of results.
Suppress,"This @interface was deprecated
      in API level 24.
    Use
 
 Suppress instead. New tests should be written using the
 Android Testing Support Library."
SuppressLint,Indicates that Lint should ignore the specified warnings for the annotated element.
SuppressWarnings,"Indicates that the named compiler warnings should be suppressed in the
 annotated element (and in all program elements contained in the annotated
 element)."
Surface,Handle onto a raw buffer that is being managed by the screen compositor.
Surface.OutOfResourcesException,"Exception thrown when a Canvas couldn't be locked with Surface.lockCanvas(Rect), or
 when a SurfaceTexture could not successfully be allocated."
SurfaceHolder,Abstract interface to someone holding a display surface.
SurfaceHolder.BadSurfaceTypeException,"Exception that is thrown from SurfaceHolder.lockCanvas() when called on a Surface
 whose type is SURFACE_TYPE_PUSH_BUFFERS."
SurfaceHolder.Callback,"A client may implement this interface to receive information about
 changes to the surface."
SurfaceHolder.Callback2,Additional callbacks that can be received for SurfaceHolder.Callback.
SurfaceTexture,Captures frames from an image stream as an OpenGL ES texture.
SurfaceTexture.OnFrameAvailableListener,Callback interface for being notified that a new stream frame is available.
SurfaceTexture.OutOfResourcesException,"This class was deprecated
      in API level 19.
    No longer thrown. Surface.OutOfResourcesException
 is used instead."
SurfaceView,Provides a dedicated drawing surface embedded inside of a view hierarchy.
SweepGradient,
Switch,"A Switch is a two-state toggle switch widget that can select between two
 options."
SwitchPreference,A Preference that provides a two-state toggleable option.
SymbolTable,"An interface that defines both lookup protocol and parsing of
 symbolic names."
SyncAdapterType,Value type that represents a SyncAdapterType.
SyncBaseInstrumentation,"This class was deprecated
      in API level 24.
    Use
 
 InstrumentationRegistry instead. New tests should be written using the
 Android Testing Support Library."
SyncContext,
SyncFailedException,Signals that a sync operation has failed.
SynchronousQueue<E>,"A blocking queue in which each insert
 operation must wait for a corresponding remove operation by another
 thread, and vice versa."
SyncInfo,Information about the sync operation that is currently underway.
SyncParams,Structure for common A/V sync params.
SyncRequest,Convenience class to construct sync requests.
SyncRequest.Builder,Builder class for a SyncRequest.
SyncResult,This class is used to communicate the results of a sync operation to the SyncManager.
SyncStateContract,The ContentProvider contract for associating data with ana data array account.
SyncStateContract.Columns,
SyncStateContract.Constants,
SyncStateContract.Helpers,
SyncStats,Used to record various statistics about the result of a sync operation.
SyncStatusObserver,
SynthesisCallback,A callback to return speech data synthesized by a text to speech engine.
SynthesisRequest,Contains data required by engines to synthesize speech.
System,"The System class contains several useful class fields
 and methods."
SystemClock,Core timekeeping facilities.
SystemHealthManager,Provides access to data about how various system resources are used by applications.
SystemUpdateInfo,A class containing information about a pending system update.
SystemUpdatePolicy,Determines when over-the-air system updates are installed on a device.
SystemUpdatePolicy.ValidationFailedException,"An exception class that represents various validation errors thrown from
 SystemUpdatePolicy.setFreezePeriods(List) and
 DevicePolicyManager.setSystemUpdatePolicy(ComponentName, SystemUpdatePolicy)"
TabActivity,"This class was deprecated
      in API level 13.
    New applications should use Fragments instead of this class;
 to continue to run on older devices, you can use the v4 support library
 which provides a version of the Fragment API that is compatible down to
 Build.VERSION_CODES.DONUT."
TabHost,Container for a tabbed window view.
TabHost.OnTabChangeListener,Interface definition for a callback to be invoked when tab changed
TabHost.TabContentFactory,Makes the content of a tab when it is selected.
TabHost.TabSpec,"A tab has a tab indicator, content, and a tag that is used to keep
 track of it."
TableLayout,A layout that arranges its children into rows and columns.
TableLayout.LayoutParams,"This set of layout parameters enforces the width of each child to be
 ViewGroup.LayoutParams.MATCH_PARENT and the height of each child to be
 ViewGroup.LayoutParams.WRAP_CONTENT, but only if the height is not specified."
TableRow,A layout that arranges its children horizontally.
TableRow.LayoutParams,Set of layout parameters used in table rows.
TabStopSpan,"Paragraph affecting span that changes the position of the tab with respect to
 the leading margin of the line."
TabStopSpan.Standard,"The default implementation of TabStopSpan that allows setting the offset of the tab stop
 from the leading margin of the first line of text."
TabWidget,"Displays a list of tab labels representing each page in the parent's tab
 collection."
Tag,Represents an NFC tag that has been discovered.
TagLostException,
TagTechnology,TagTechnology is an interface to a technology in a Tag.
TaiwanCalendar,"TaiwanCalendar is a subclass of GregorianCalendar
 that numbers years since 1912."
Target,Indicates the contexts in which an annotation type is applicable.
TargetApi,"Indicates that Lint should treat this type as targeting a given API level, no matter what the
    project target is."
TaskStackBuilder,"Utility class for constructing synthetic back stacks for cross-task navigation
 on Android 3.0 and newer."
TelecomManager,Provides access to information about active calls and registration/call-management functionality.
Telephony,"The Telephony provider contains data related to phone operation, specifically SMS and MMS
 messages, access to the APN list, including the MMSC to use, and the service state."
Telephony.BaseMmsColumns,Base columns for tables that contain MMSs.
Telephony.CanonicalAddressesColumns,"Columns for the ""canonical_addresses"" table used by MMS and SMS."
Telephony.CarrierId,Contains carrier identification information for the current subscriptions.
Telephony.Carriers,"Carriers class contains information about APNs, including MMSC information."
Telephony.Mms,Contains all MMS messages.
Telephony.Mms.Addr,Contains address information for an MMS message.
Telephony.Mms.Draft,Contains all MMS messages in the MMS app drafts folder.
Telephony.Mms.Inbox,Contains all MMS messages in the MMS app inbox.
Telephony.Mms.Intents,Intents class.
Telephony.Mms.Outbox,Contains all MMS messages in the MMS app outbox.
Telephony.Mms.Part,Contains message parts.
Telephony.Mms.Rate,Message send rate table.
Telephony.Mms.Sent,Contains all MMS messages in the MMS app sent folder.
Telephony.MmsSms,Contains all MMS and SMS messages.
Telephony.MmsSms.PendingMessages,Contains pending messages info.
